Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"37436","2","2018-08-26 07:05:40","6","","","",""
"37437","2","2018-08-26 08:22:43","1","","","",""
"37438","2","2018-08-26 08:44:02","0","","","",""
"37439","2","2018-08-26 08:59:50","8","","","",""
"37441","1","2018-08-26 10:43:43","2","55","<machine-learning><neural-network><deep-learning><keras><regression>","2",""
"37442","1","2018-08-26 10:45:34","2","456","<nlp><word2vec><mathematics>","2",""
"37443","2","2018-08-26 11:25:27","2","","","",""
"37445","1","2018-08-26 12:36:41","1","1973","<machine-learning><convolutional-neural-network><embeddings>","1",""
"37446","2","2018-08-26 13:38:34","0","","","",""
"37448","2","2018-08-26 13:50:23","2","","","",""
"37449","2","2018-08-26 13:56:12","1","","","",""
"37450","2","2018-08-26 14:10:06","0","","","",""
"37451","2","2018-08-26 14:12:33","0","","","",""
"37452","2","2018-08-26 14:25:12","2","","","",""
"37453","2","2018-08-26 15:13:36","0","","","",""
"37454","2","2018-08-26 15:17:50","1","","","",""
"37456","1","2018-08-26 16:07:44","1","107","<probability>","1",""
"37457","1","2018-08-26 16:10:33","0","33","<efficiency>","0",""
"37458","2","2018-08-26 17:39:45","2","","","",""
"37459","1","2018-08-26 17:48:55","2","2976","<keras><lstm><word2vec>","1",""
"37460","2","2018-08-26 17:54:31","0","","","",""
"37461","2","2018-08-26 18:13:34","3","","","",""
"94895","1","2021-05-25 16:02:11","1","15","<regression><features>","0",""
"94897","2","2021-05-25 16:19:43","1","","","",""
"94898","2","2021-05-25 16:31:39","0","","","",""
"94899","2","2021-05-25 16:57:39","3","","","",""
"94901","2","2021-05-25 17:35:07","0","","","",""
"94904","1","2021-05-25 19:56:44","1","38","<python><tensorflow><sequence-to-sequence>","0",""
"94906","1","2021-05-25 21:43:03","1","59","<neural-network><pytorch>","0",""
"94907","1","2021-05-25 23:29:42","1","15","<association-rules>","0",""
"94908","1","2021-05-25 23:34:14","1","10","<neural-network><predictive-modeling><decision-trees><linear-regression><data-analysis>","0",""
"94909","1","2021-05-26 02:37:01","0","85","<image>","1",""
"94910","1","2021-05-26 03:57:44","0","32","<deep-learning><nlp><dataset><language-model><implementation>","1",""
"94913","1","2021-05-26 06:17:53","1","38","<nlp><grammar-inference>","1",""
"94915","2","2021-05-26 07:34:20","1","","","",""
"94920","2","2021-05-26 09:11:23","1","","","",""
"94921","1","2021-05-26 10:22:36","0","835","<clustering><k-means>","2",""
"94922","1","2021-05-26 10:29:39","0","167","<machine-learning><neural-network><predictive-modeling>","1",""
"94923","1","2021-05-26 11:02:18","0","190","<regression><feature-selection>","3",""
"94924","2","2021-05-26 11:05:40","1","","","",""
"94926","1","2021-05-26 12:19:00","2","250","<image-classification><image-recognition><image-preprocessing>","2",""
"94927","2","2021-05-26 12:26:14","1","","","",""
"94928","2","2021-05-26 12:32:51","0","","","",""
"94929","2","2021-05-26 12:37:56","0","","","",""
"94932","2","2021-05-26 14:17:41","-2","","","",""
"94934","1","2021-05-26 14:46:01","0","92","<regression><statistics><logistic-regression><variance><mean>","1",""
"94935","1","2021-05-26 14:48:41","0","142","<python><scikit-learn><text-classification><binary-classification>","1",""
"94936","2","2021-05-26 14:50:07","1","","","",""
"94937","2","2021-05-26 14:56:25","1","","","",""
"94938","2","2021-05-26 14:56:44","1","","","",""
"94939","2","2021-05-26 14:59:25","0","","","",""
"94940","1","2021-05-26 16:14:23","1","85","<python><nlp><text-generation>","0",""
"94942","1","2021-05-26 18:12:11","1","44","<clustering><unsupervised-learning><audio-recognition>","0",""
"94943","1","2021-05-26 18:33:29","0","779","<pytorch>","1",""
